Site_ID,Latitude,Longitude,MAT,MAP,Annual_coverage,Soil_BD,Rs_annual
ES-SW-FOR,37.35,-5.93,19.0,565.7,1.0,1.16,1051.2
CN-JX-HN,26.744,115.059,17.9,1505.0,1.0,1.54,424.5096
CN-YAE,31.27,105.47,17.3,826.0,1.0,1.42,627.0
UK-AHR-YR3,51.15,-0.85,9.8,808.0,1.0,0.7,886.9
CN-HEN-WHEAT3,34.82,114.28,14.3,627.0,1.0,1.31,809.0
CN-QES-WMM,36.87,115.02,13.199999999999998,494.0,1.0,1.37,1075.3333333333333
CN-HAF-MID,24.92,118.92,19.8,1250.0,1.0,1.24,1468.33
CN-NCP-100N,37.88,114.68,12.5,480.0,0.91,1.47,464.0
IE-SWI-SP35CM,52.3,-9.16,6.6,1600.0,0.91,0.12,513.635
CN-NCP-150N,37.88,114.68,12.5,480.0,0.91,1.47,388.0
ID-KAL-FL2,2.3,114.0,26.3,2235.0,1.0,0.12,823.44
IN-JHA-8YR,23.7,84.99,23.0,975.0,1.0,1.71,903.42
CN-BTM-BBM,33.47,111.92,15.1,900.0,1.0,1.01,912.19
CH-AC2,-40.17,-73.44,7.26,4860.0,1.0,0.7,722.5
CN-SN-N3,35.575,110.08500000000001,6.2,770.0,0.54,1.1,1120.55
CN-GS-RT1INT,37.96,102.64,7.2,156.0,1.0,1.4,355.32
NO-END-SALIX,78.0,19.0,-5.7,180.0,0.33,0.9,176.0
IN-MOH-SHR,33.0,73.0,23.0,1069.0,1.0,1.41,345.0
CN-QSF-CL,31.67,121.5,15.3,1003.7,1.0,1.26,1010.0
CN-XEF-VI,26.19,117.43,19.1,1749.0,1.0,1.2,509.0
CN-GS-RT3INT,37.96,102.64,7.2,156.0,1.0,1.4,294.84
FI-LIA-PESBSV,62.5,30.5,2.1,669.0,0.5,0.18,92.0
CN-HE-N1T,37.88,114.7,12.4,460.0,1.0,1.27,569.4
US-KPB-CK,39.083148145,-96.57949073833333,13.0,838.5,0.6,1.1,1510.0
CN-ZCE-699N,31.0,110.5,18.0,1164.0,1.0,1.54,147.0
CN-GS-N,36.03,104.41,6.5,305.0,1.0,1.22,642.4
CN-SMY-SLL,38.77,110.37,8.4,437.0,0.67,1.31,367.08
CN-DMN-BF,23.17,112.53,20.8,1956.0,1.0,0.86,590.0
IE-SWI-SP15CM,52.3,-9.16,6.6,1600.0,0.91,0.12,465.855
IT-ROC,42.4,11.92,14.0,755.0,1.0,1.22,1097.0
CN-XIN-DLAND,30.03,114.37,16.8,577.0,1.0,1.23,172.0
US-LAB-S2,39.77,-86.18,11.3,1095.0,1.0,1.1,780.0
CN-SC-LN,29.53,103.25,10.0,2323.0,1.0,0.4,520.4
BR-SP-CK,-22.062,-47.64275,21.4,1019.845,0.5066666666666667,1.5,488.0
CN-QERC-SP2,26.73,115.05,6.4,1469.0,1.0,1.4,789.1
CN-AYH-ABN,36.5,114.2,14.0,700.0,0.75,1.51,131.18
CN-HNR-CK,26.8,109.6,16.5,1200.0,1.0,1.23,511.0
CN-HT-CT,26.67,109.43,16.5,1200.0,1.0,1.43,620.5
CN-XFF-2900M,38.0,99.0,0.04999999999999999,435.0,0.54,0.73,514.0
IE-SWI-SPCK,52.3,-9.16,6.6,1600.0,0.91,0.12,1015.325
CA-AB-SA,53.7,-113.63,2.8,450.0,0.33,1.15,586.0
UK-AHR-THIN9YR4,51.15,-0.85,9.8,808.0,1.0,0.7,663.2
BR-CNF-SANDY,-1.72,-51.46,25.7,2272.0,1.0,1.49,1487.0
CN-JX-N140,26.73,115.05,17.9,1505.0,1.0,1.54,434.0
CN-JX-A120,26.73,115.05,17.9,1505.0,1.0,1.54,512.0
US-LEF-LOW50N,18.3,-65.8,23.0,3500.0,0.25,0.75,1022.0
US-SOR-IRG,42.27805556,-123.6427778,12.3,1434.0,1.0,1.04,967.0
BE-DIF-OAKM,51.3,4.52,9.8,750.0,1.0,1.4,750.0
CN-GS-RTMONCK,37.96,102.64,7.2,156.0,1.0,1.4,476.28000000000003
CN-HLJ-NPK,47.43,126.62,1.9,556.0,1.0,1.0,389.0
US-SC-YT,31.27,105.48,17.3,826.0,1.0,1.33,462.8
CN-XIN-PLANT,30.03,114.37,16.8,577.0,1.0,1.24,226.0
CN-TB-CK,35.50727272727273,97.11,-1.481818181818182,426.73636363636365,0.7209090909090908,0.9433333333333334,762.6283333333334
CN-CWS,35.2,105.09857142857143,9.4,563.7142857142857,1.0,1.3,265.87857142857143
BE-DIF-PINEM,51.3,4.52,9.8,750.0,1.0,1.2,510.0
US-LEF-SF,18.3,-65.83,22.3,3920.0,0.92,0.61,947.5
UK-AHR-THIN9YR5,51.15,-0.85,9.8,808.0,1.0,0.7,573.8
CA-AB-LIN2,54.2,-114.15,3.4,491.0,0.33,1.46,612.0
ES-MD-VT,40.05,-3.52,14.0,350.0,1.0,1.36,142.345
US-STC-1994C4,42.18,-93.5,9.2,865.0,1.0,1.27,1260.0
UK-AHR-THIN7AYR4,51.15,-0.85,9.8,808.0,1.0,0.7,1262.2
ID-KAL-OP07FT,-2.791,111.8,27.0,2058.0,1.0,0.34,1020.0
CA-OTR-LITTLE,43.54111111,-80.20888889,7.2,833.0,0.5,1.15,593.0
IT-SAR-SM,39.8,8.55,16.7,572.0,1.0,1.5,1262.9
CN-THM-AS,37.88,114.27,13.2,570.0,1.0,1.34,703.89
US-BRF-SOYBCT,30.53,-94.43,20.0,978.0,1.0,1.42,412.0
CN-HE-N0T,37.88,114.7,12.4,460.0,1.0,1.27,474.5
CN-DHS-ENF,23.13,112.58,21.0,1927.0,1.0,1.4,1026.11
CN-TRI-HP,30.23,120.15,17.0,1533.0,1.0,1.09,540.0
CN-TNF-100N,29.86666667,121.65,16.0,1374.0,1.0,1.06,1135.2
ES-CDG-UNNAT,36.83472222,-2.250277778,18.0,220.0,1.0,1.11,303.0
BE-LOC-FOR,51.11222222,3.850555556,9.5,726.0,0.9,1.5,740.0
CH-DAG-120YR,46.639,8.447,2.2,2400.0,0.4,0.9,160.5
NZ-MAR,-42.22,172.25,9.8,2000.0,1.0,0.6,650.0
CN-DMS,29.67,113.83,16.9,1430.0,1.0,1.28,897.0
ID-KAL-OP12CT,-2.794,111.82,27.0,2058.0,1.0,0.32,1200.0
CN-DBR-REH10N,23.17,112.17,21.4,1927.0,1.0,1.22,701.0
CN-IM-TSNG,43.6,116.7,1.4000000000000001,234.0,0.45999999999999996,1.11,693.6666666666666
US-BRF-NTWS,30.53,-94.43,20.0,978.0,1.0,1.42,842.0
US-KFF-CK,34.98166667,-97.52055556,16.3,895.0,1.0,1.2,1138.3333333333333
CN-HSQ-UPLAND,30.0,114.0,16.8,1577.0,1.0,1.36,151.0
US-KS-7YR,39.08,-96.58,12.0,834.0,1.0,1.18,1994.0
CN-DGS-EB,27.67,114.62,16.75,1591.0,0.92,0.79,1170.0
DE-HNP,51.07944444,10.45222222,7.75,775.0,1.0,0.99,876.875
UK-AHR-THIN7BYR5,51.15,-0.85,9.8,808.0,1.0,0.7,974.5
AU-HOS,-12.485,130.94,31.5,1700.0,1.0,1.41,1430.0
CN-BYX-200N,43.55277778,116.6747222,-0.4,400.0,1.0,1.22,194.0
CN-XLR-ANE,43.54999999999999,116.78000000000002,0.3,400.0,1.0,1.08,375.0
CN-HFB-PINENL,28.10833333,113.0416667,17.2,1450.0,1.0,1.57,564.0
US-LEF-PLA,18.3,-65.83,22.3,3920.0,0.92,0.55,967.0
BR-PEI-MAT,-9.88,-67.08,26.0,1940.0,0.01,1.25,1490.0
CH-DAG-10YR,46.639,8.447,2.2,2400.0,0.4,1.4,8.6
CN-AYH-NFE,36.5,114.2,14.0,700.0,0.75,1.51,190.12
JP-HKD-F,42.4,142.466,7.9,1365.0,1.0,0.63,698.975
CN-GX-MANR,22.17,106.83,21.0,1400.0,1.0,1.22,708.1
IT-SAR-MI,39.8,8.55,16.7,572.0,1.0,1.5,1062.15
CN-PFF-8YR,43.75,81.15,8.55,310.70000000000005,0.33,1.225,1771.0
CN-TRI-WL,30.23,120.15,17.0,1533.0,1.0,1.21,430.0
BR-PZS-11,-9.88,-67.07,26.0,1940.0,0.01,1.3,1830.0
US-FCO-GRA,40.6,-105.1,8.9,385.0,1.0,1.19,2777.0
ID-SUMBER,-1.716861111,103.8824167,26.0,2500.0,0.1,0.19,1304.0
CN-WDG-ORC,35.22,107.67,9.4,560.0,0.83,1.32,544.6666666666666
CN-SX-BF,36.07,112.1,11.0,600.0,1.0,0.95,689.85
CN-FJ-H,27.7,117.45,15.0,2000.0,1.0,0.85,1274.7
CN-NFR-GRA,47.43,128.63,1.5,550.0,0.75,1.01,205.6
ID-SAR-103N,2.82,111.93,32.8,2471.0,1.0,2.0,494.0
US-LEF-UPPER50N,18.3,-65.8,21.0,4300.0,0.25,0.6,1606.0
ES-NPC-SLMC,42.27,2.97,15.5,450.0,1.0,1.13,1384.0
MX-EEE,21.21,-87.18,24.2,1650.0,1.0,0.61,2738.5
US-HJA-DL,44.2416666675,-122.181666675,8.7,2370.0,1.0,0.82,1163.75
ES-NPC-SLO,42.27,2.97,15.5,450.0,1.0,1.36,1347.0
US-TAE-FOR60YR,27.67,-98.2,22.4,716.0,1.0,1.13,771.0
US-BRF-CTWSS,30.53,-94.43,20.0,978.0,1.0,1.42,718.0
CN-HIR,22.68,112.9,21.7,1900.0,1.0,0.99,2240.0
UK-AHR-THIN04YR4,51.15,-0.85,9.8,808.0,1.0,0.7,1106.8
US-MOC-CK,44.17,-96.68,6.3,602.0,0.33,1.2,1170.0
US-HJA-NI,44.25,-122.17,8.7,2370.0,1.0,0.82,460.0
CA-AB-ELL2,53.4,-113.55,2.8,342.0,0.33,1.02,925.0
US-LEF-UPPERCK,18.3,-65.8,21.0,4300.0,0.25,0.69,2372.5
CN-BTM-QUERCUS,33.5,112.0,15.1,900.0,0.75,0.71,802.0
CN-HN-RTSR,28.116,112.3,16.8,1358.3,1.0,1.21,118.25
ID-SAR-NATCK,2.82,111.85,27.7,2163.0,1.0,1.5,681.0
CN-HSQ-ORC,30.0,114.0,16.8,1577.0,1.0,1.24,198.0
CN-HFB-CAMPHORDL,28.10833333,113.0416667,17.2,1450.0,1.0,1.5,1177.0
CN-DNR-MF,23.17,112.53,21.4,1927.0,1.0,1.22,913.0
CN-HSQ-PADDY,30.0,114.0,16.8,1577.0,1.0,1.37,246.0
US-SWP-S3,39.65,-86.23,11.3,1095.0,1.0,1.2,980.0
CN-YTA,31.26666667,105.4666667,17.3,826.0,1.0,1.42,655.0
US-TAE-GROVECK,27.67,-98.2,22.4,716.0,1.0,1.09,896.0
CN-XLR-BAI,43.51250000000001,116.8272222,-1.3999999999999997,450.0,1.0,1.05,254.4333333333333
IE-SWI-LP35CM,52.3,-9.15,6.6,1600.0,0.91,0.11,370.295
CN-WNR-CH,27.05,118.15,19.4,1731.0,1.0,1.23,577.0
US-KS-0YR,39.08,-96.58,12.0,834.0,1.0,1.39,782.0
KR-HEL-SSS,37.46444444,127.0878667,13.5,1473.0,1.0,0.42,645.0
DE-SOL-COM,51.77,9.57,7.2,1038.0,0.67,1.2,615.0
BR-FNV-3YR,-9.585,-62.91,25.5,2200.0,0.25,1.3,750.0
UK-AHR-THIN7BYR4,51.15,-0.85,9.8,808.0,1.0,0.7,1096.7
MX-CDP-GRA,19.516,-96.988,19.3,2080.5,1.0,0.42,687.5
IE-SWI-SP5CM,52.3,-9.16,6.6,1600.0,0.91,0.12,537.525
CN-HLJ-CK,47.67375,127.45375,1.157142857142857,610.5625,0.69125,1.004,456.816
DE-UNT-CK,52.83,10.28,8.4,837.0,0.67,1.6,410.0
CN-XHH-GAD,30.52,120.17,16.7,1410.0,0.83,1.31,683.76
US-HJA-NL,44.25,-122.17,8.7,2370.0,1.0,0.82,620.0
US-AAF-NTFERT,43.28,-89.37,7.6,791.0,1.0,1.34,877.5
UK-AHR-THIN04YR5,51.15,-0.85,9.8,808.0,1.0,0.7,999.8
CN-HN-NTSR,28.116,112.3,16.8,1358.3,1.0,1.21,118.25
US-PR-T1000II,18.31,-65.8,19.0,4849.0,0.83,0.9,378.0
ID-LLN-CK,-1.552,120.02,25.5,2092.0,1.0,1.31,1110.0
CN-SMY-XUM,38.77,110.37,8.4,437.0,0.67,1.3,658.48
CA-AB-LIN1,54.2,-114.15,3.4,491.0,0.33,1.36,410.0
MW-ZOB-INT1,-15.5,35.25,24.0,930.0,1.0,1.44,1054.0
GB-CLO,53.05,-3.4683333335000004,8.2,1741.0,1.0,0.25,580.0
CN-SX-MF,36.07,112.1,11.0,600.0,1.0,1.04,569.4
US-STC-C3,42.18,-93.5,9.2,865.0,1.0,1.02,1300.0
AU-RMK-ICCK,-34.0,140.966,17.5,242.0,1.0,1.6,375.0
US-WA-CK,46.838194445,-119.9125,9.75,873.0,1.0,0.82,802.0
US-MCS-S6,39.28,-86.73,11.3,1095.0,1.0,1.1,970.0
DE-SOL-CK,51.645,9.57,6.800000000000001,1064.0,0.67,1.2,406.25
US-PR-T1000III,18.31,-65.8,19.0,4849.0,0.83,0.9,498.96
ID-HFR-CLAYFOR,-1.99,103.3,26.7,2235.0,1.0,1.0,1621.0
US-INY-YOU,42.510000000000005,-76.55,7.7,899.0,1.0,1.0,548.5
IN-CTK-RTVGNA,20.44,85.93,28.0,1500.0,1.0,1.41,104.0
CN-YN-RF,21.919,101.27,22.26,1166.0,1.0,1.12,848.0
CN-SC-DAY,30.883,102.966,8.4,861.8,1.0,1.47,836.34
CN-HT-P,26.67,109.43,16.5,1200.0,1.0,1.32,505.525
IN-ANA-PW,34.0,75.28,17.0,1289.0,0.75,0.44,857.115
US-BRF-SORGNT,30.53,-94.43,20.0,978.0,1.0,1.52,519.0
CN-HN-CT,28.116,112.3,16.8,1358.3,1.0,1.21,113.92
CN-SN-N1,35.575,110.08500000000001,6.2,770.0,0.54,1.12,919.8
CN-HNR-DL,26.8,109.6,16.5,1200.0,1.0,1.23,679.0
CN-YAE-CRO,31.27,105.47,17.3,826.0,1.0,1.49,452.0
CN-GS-WN,36.03,104.41,6.5,305.0,1.0,1.22,563.925
US-LAB-S1,39.77,-86.18,11.3,1095.0,1.0,1.0,750.0
CN-HB-SITE2,29.7,113.88,16.9,1429.5,1.0,1.2,3860.0
US-HET-SPE800,19.94480556,-155.2622778,18.2,4204.0,1.0,0.21,1953.0
UK-AHR-YR5,51.15,-0.85,9.8,808.0,1.0,0.7,986.3
US-TLR-RWINT,35.90611111,-76.15694444,16.6,1330.0,1.0,0.87,619.0
US-BRF-SORGCT,30.53,-94.43,20.0,978.0,1.0,1.42,515.0
ES-MD-NOFC,40.05,-3.52,14.0,350.0,1.0,1.36,146.154
ID-HFR-CLAYOIL,-1.99,103.3,26.7,2235.0,1.0,1.1,1029.0
IN-JHA-REF,23.7,84.99,23.0,975.0,1.0,1.73,1440.18
CN-SX-TRITICUM,35.2,107.667,9.4,560.0,1.0,1.3,693.5
CN-TMM-TTHINN,30.31666667,119.4416667,16.8,1420.0,1.0,1.3,761.1
FI-KAN-SITE1,65.92,23.85,2.3,525.0,1.0,0.25,682.0
US-BRF-SOYBNT,30.53,-94.43,20.0,978.0,1.0,1.52,509.0
CN-YAE-GRA,31.27,105.47,17.3,826.0,1.0,1.52,480.0
CN-XFF-2700M,38.0,99.0,0.4,435.0,0.54,0.62,574.0
CN-HBS-45YR,42.412,117.2474,-1.4,450.0,0.416,1.47,468.0
CN-DBR-DIS5N,23.17,112.17,21.4,1927.0,1.0,1.16,552.0
CN-YN-YR,21.943,101.243,22.26,1166.0,1.0,1.22,509.0
CN-BJ-OPP,40.016,116.383,12.5,540.0,1.0,1.62,394.0
ES-NPC-IRMB,42.27,2.97,15.5,450.0,1.0,0.96,770.0
CD-KIV-GLY,-4.7447,10.0211,25.0,1216.0,1.0,1.3,662.0
CN-TLS-PER,37.87,112.55,10.0,478.4,1.0,1.37,1002.0
US-NC-HFREQ,35.78,-75.9,16.9,1270.0,1.0,0.08,1014.0
CN-STL20YR150N,27.03333333,118.1333333,18.7,1664.0,1.0,1.28,927.0
CN-IM-DSSG,41.8,111.90000000000002,3.1,175.0,0.45999999999999996,1.33,378.3333333333333
IT-SAR-SL,39.8,8.55,16.7,572.0,1.0,1.5,1470.95
CN-SC-LARGE,31.616,103.90000000000002,8.9,900.0,1.0,0.96,480.5833333333333
CN-GS-RT2INT,37.96,102.64,7.2,156.0,1.0,1.4,283.5
CN-SN-N135,35.2,107.68,10.0,528.5,1.0,1.3,470.0
US-WI-A,45.53,-87.93,6.9,740.0,1.0,1.13,1487.0
CN-HBS-10YR,42.412,117.2474,-1.4,450.0,0.416,1.47,427.0
IT-SCL-WWNT,37.5,13.5,15.9,552.0,1.0,1.11,233.6
CN-QES,26.7406250025,115.061875025,17.9,1474.0,1.0,1.5,697.375
US-TLR-RWDRY,35.90611111,-76.15694444,16.6,1330.0,1.0,0.98,676.0
US-PR-T350I,18.32,-65.82,25.0,3537.0,0.83,0.8,385.56
CR-LSB-OLD,10.33,-83.83,26.0,4200.0,1.0,0.81,1065.0
CN-GS-RTCK,37.96,102.64,7.2,156.0,1.0,1.4,355.32
CN-HN-CTSR,28.116,112.3,16.8,1358.3,1.0,1.21,115.25
CN-FJ-M,27.7,117.45,15.0,2000.0,1.0,0.86,753.8
US-HJA-DW,44.25,-122.17,8.7,2370.0,1.0,0.82,1396.6666666666667
CN-HLG-SF,29.42,101.83,5.3,1900.0,1.0,0.15,643.0
US-INY-MAT,42.510000000000005,-76.55,7.7,899.0,1.0,0.8,473.0
US-HET-HAK1600,19.84202778,-155.2931111,13.0,3195.0,1.0,0.23,1493.0
CN-IM-TSSG,43.6,116.7,0.9,344.0,0.45999999999999996,1.09,510.6666666666667
CN-LOP-MIL,35.2,107.67,9.4,560.0,1.0,1.3,908.24
KR-WNE-VSV,35.20583333,128.1733333,13.1,1490.0,1.0,1.0,789.0
IT-SCL-WBNT,37.5,13.5,15.9,552.0,1.0,1.1,204.4
US-COR-IRG,44.02611111,-123.1822222,11.4,1134.0,1.0,0.6,1097.0
ES-NPC-SLMB,42.27,2.97,15.5,450.0,1.0,0.96,1299.0
CN-BYX-CK,43.55277778,116.6747222,-0.4,400.0,1.0,1.22,127.0
CN-HFB-PINEDL,28.10833333,113.0416667,17.2,1450.0,1.0,1.57,689.0
CN-YSF-CFCCUTSLA,26.41666667,117.8333333,19.2,1688.0,1.0,1.1,448.0
UK-AHR-THIN7AYR5,51.15,-0.85,9.8,808.0,1.0,0.7,1062.6
TH-MAM-TP,18.67,99.78,25.3,1382.6,1.0,1.4,326.8
CN-DHS-BFCK,23.168000000000003,112.55,21.133333333333333,1936.6666666666667,1.0,0.86,1164.3333333333333
CN-BYX-100N,43.55277778,116.6747222,-0.4,400.0,1.0,1.22,195.0
US-HW-NAP50,20.89,-156.41,23.4,241.0,1.0,1.35,1193.55
CN-DHS-PFCK,23.168000000000003,112.55,21.133333333333333,1936.6666666666667,1.0,1.32,1059.6666666666667
CL-NN-D4,-34.13,-71.05,14.9,503.0,1.0,1.7,392.5
CN-HLJ-PM2,47.43,126.62,1.9,556.0,1.0,1.0,370.0
CN-JX-A40,26.73,115.05,17.9,1505.0,1.0,1.54,517.0
CN-YN-FORUP,22.2,100.63,19.0,1490.0,1.0,1.11,604.8
US-CNF-THINN,35.13,-111.65,11.15,963.0,0.42,1.1066666665,1649.0
US-HAF-CK,42.5583333325,-72.4999999975,6.0,1152.5,0.67,0.16,932.0
CH-AA1,-41.53,-72.6,7.26,4860.0,1.0,0.16,502.0
CN-DHS-EBF,23.13,112.58,21.0,1927.0,1.0,0.85,1141.75
US-HW-SUG50,20.89,-156.41,23.4,241.0,1.0,1.35,1043.9
CN-SMY-CMH,38.77,110.37,8.4,437.0,0.67,1.54,473.04
MW-ZOB-CK,-15.5,35.25,24.0,930.0,1.0,1.44,408.0
CN-WDG-WOO,35.22,107.67,9.4,560.0,0.83,1.23,780.3333333333334
CN-YN-RT,21.907,101.27,22.26,1166.0,1.0,1.09,598.0
CH-CHA,47.21,8.41,9.1,1151.0,1.0,1.1,339.0
KR-WNE-SV,35.20583333,128.1733333,13.1,1490.0,1.0,1.07,1097.0
ES-MD-NOVT,40.05,-3.52,14.0,350.0,1.0,1.36,195.393
ID-DBNP-CLAYRUB,-2.04,102.72,26.7,2235.0,1.0,0.9,1609.0
CA-CAR-CHMB2,49.85,-125.32,8.6,1452.0,1.0,1.35,1350.0
CN-DMN-CF,23.17,112.53,20.8,1956.0,1.0,1.32,1075.0
CN-DHS-PF,23.156666666666666,112.51333333333334,21.866666666666664,1762.3333333333333,1.0,1.4,1013.4
CN-TLS-GRA,37.73,112.42,10.0,478.0,0.83,1.38,1242.2366666666667
KR-WNE-MR,35.20583333,128.1733333,13.1,1490.0,1.0,1.23,925.0
ES-MD-FC,40.05,-3.52,14.0,350.0,1.0,1.36,217.743
CN-TLS-ROX,37.87,112.55,10.0,478.4,1.0,1.15,1169.0
ID-KAL-BL3,2.3,114.0,26.3,2235.0,1.0,0.13,1016.16
CN-IM-MSSG,45.1,120.3,0.9,344.0,0.45999999999999996,1.12,896.6666666666666
CN-ZCE-286N,31.0,110.5,18.0,1164.0,1.0,1.5,240.0
CN-NFR-SOY,47.43,128.63,1.5,550.0,0.75,1.06,315.1
CN-GS-W,36.03,104.41,6.5,305.0,1.0,1.22,549.325
CN-IM-CK,44.43936363636364,116.86627272727273,2.2927272727272725,350.97272727272724,0.54,1.2925,466.3533333333333
KR-SEF,35.45,127.63,12.8,1322.0,0.83,0.82,821.0
CN-HE-N0C,37.88,114.7,12.4,460.0,1.0,1.27,445.3
US-TAE-WODCK,27.67,-98.2,22.4,716.0,1.0,1.13,876.0
CG-KIS-HS,-4.74,12.02,25.0,1274.0,1.0,1.3,653.0
CN-SX-PISUM,35.2,107.667,9.4,560.0,1.0,1.3,646.05
CN-FJ-L,27.7,117.45,15.0,2000.0,1.0,0.81,842.7
BR-HUM-MAT,-9.77,-67.66,26.0,1940.0,0.01,1.25,1470.0
ES-NPC-SLV,42.27,2.97,15.5,450.0,1.0,1.64,1207.0
US-TLR-RWWET,35.90611111,-76.15694444,16.6,1330.0,1.0,0.34,385.0
US-KRR-LOWBIOM,49.42,-119.12,5.7,660.0,1.0,0.98,856.0
BR-JAB-M,-21.25,-48.31,22.3,1424.0,1.0,1.57,1620.0
BE-DIF-GRA,51.3,4.52,9.8,750.0,1.0,1.2,1360.0
KR-HEL-PDS,37.46444444,127.0878667,13.5,1473.0,1.0,0.5,864.0
US-TPR-CRO,38.9,-92.33,12.5,973.0,1.0,1.37,330.0
CN-HT-NP,26.67,109.43,16.5,1200.0,1.0,1.38,503.70000000000005
